Authors,Title,Year,Source,Term
"R Sliger Krause, J Rosenzweig…",Out of the vault: Developing a Wikipedia edit-a-thon to enhance public programming for university archives and special collections,2017,Journal of Western Archives,Art+Feminism
"R Thorndike-Breeze, GK Suiter",Hacking academic collaboration with GLAM Edit-a-thons,2017,Hacking Academic Collaboration with GLAM Edit-a-thons,Art+Feminism
R Wexelbaum,Coming out of the closet: Librarian advocacy to advance LGBTQ+ Wikipedia engagement,2019,LGBTQ+ librarianship in the 21st century: Emerging …,Art+Feminism
R Wexelbaum,"Edit Loud, Edit Proud: LGBTIQ+ Wikimedians and Global Information Activism",2019,Wikipedia@ 20,Art+Feminism
R Wexelbaum,Gay for No Pay: How to Maintain an LGBTQ+ Collection with No Budget,2018,Brick Click &,Art+Feminism
"S Allison-Cassin, A Armstrong, P Ayers, T Cramer…",ARL white paper on Wikidata: Opportunities and recommendations,2019,"ARL White Paper on Wikidata
Opportunities and Recommendations",Art+Feminism
"S Allison-Cassin, D Scott",Wikidata: a platform for your library's linked open data,2018,Code4Lib Journal,Art+Feminism
"S Beene, L Soito, L Kohl",Art catalogs unbound: overcoming challenges through engagement,2020,"Art Documentation: Journal of the Art Libraries Society of North America, vol. 39 (spring 2020)",Art+Feminism
S Bell,Wikipedia: From Academic Pariah to Campus Learning Partner,2016,Temple University Libraries,Art+Feminism
S Ehlers,Gender imbalance on Wikipedia—an insider's perspective,2008,Wikimedia diversity conference,Art and Feminism
S Evans,Art+ Feminism: an interview with Siân Evans,2019,Art Libraries Journal,Art+Feminism
"S Juan, E Oller",Uso de los ordenadores en los institutos por los jóvenes en el programa 2.0 de España,2019,Pedagogías emergentes en la sociedad digital,Art+Feminism
S Rackover,Wikipedia And The Library: Righting The Imbalance Of Creators And Content Through Community Edit-a-thons,2016,,[]
S Schumacher,Unlocking the Public Domain,2019,Visual Resources Association Bulletin,Art+Feminism
"S Severson, E O'Neil",Notes from the field: three wikimedian-in-residence case studies,2021,"Wikipedia and Academic
Libraries
A Global Project",Art+Feminism
S Wyer,"Folk Networks, Cyberfeminism, and Information Activism in the Art+ Feminism Wikipedia Edit-a-thon Series",2017,"FOLK NETWORKS, CYBERFEMINISM, AND INFORMATION ACTIVISM IN THE
ART+FEMINISM WIKIPEDIA EDIT-A-THON SERIES",Art+Feminism
SAB Perry,Wholehearted participation: Attuning to affect and immanence in a virtual field,2022,Anthropology and Humanism,Art+Feminism
"SC Ukwoma, NE Osadebe, VN Okafor…",Unveiling the veiled: Wikipedia collaborating with academic libraries in Africa in creating visibility for African women through Art+ Feminism Wikipedia edit-a-thon,2021,Digital Library Perspectives,Art+Feminism
SJ Jankowski,The Trouble with Knowing: Wikipedian consensus and the political design of encyclopedic media,2021,Wikipedian consensus and the political design of encyclopedic media,Art+Feminism
SM Jackson,"Disrupting the Designer: Applying a feminist, embodied, hermeneutic framework towards better understanding and disrupting visual design practice",2018,"Disrupting
the designer",Art and Feminism
T Burress,Associate Librarian,2020,Burress,Art+Feminism
"T Colwell, A O'Keefe",Streamlining support: Improving outreach by creating a sustainable events framework,2021,"Journal of
Library Outreach and
Engagement 1, no.2",Art+Feminism
"T Sant, E Tabone",Naked data: curating Wikidata as an artistic medium to interpret prehistoric figurines,2023,"International Journal of Performance Arts and Digital
Media",Art+Feminism
TE Jacobson,Analyzing information sources through the lens of the ACRL Framework: A case study of Wikipedia,2020,Communications in Information Literacy,Art+Feminism
